Domande,N.
Da_quali_fonti_ha_avuto_informazioni_utili_per_la_scelta_dell_asilo,1
Per_quali_motivi_ha_scelto_questo_asilo,2
Come_valuta_la_corrispondenza_delle_informazioni_date_e_il_servizio_effettivamente_erogato,3
Come_valuta_le_modalita_di_accoglienza_da_parte_del_personale,4
Come_valuta_in_generale_il_grado_di_cortesia_e_di_disponibilita_all_ascolto_del_personale,5
Come_valuta_il_clima_che_si_respira_al_nido,6
Come_valuta_la_qualita_della_struttura_dell_asilo_nido_nel_suo_complesso,7
Come_valuta_l_adeguatezza_degli_spazi_interni,8
Come_valuta_la_qualita_del_servizio_mensa,9
Come_valuta_il_livello_di_igiene_e_pulizia_del_nido,10
Come_valuta_l_attivita_educativo_didattica_svolta_durante_l_anno,11
Come_valuta_le_modalita_utilizzate_per_l_inserimento_graduale_del_bambino,12
Come_valuta_l_esperienza_vissuta_dal_suo_bambinoa_all_asilo_nido,13
Giudizio_complessivo_del_servizio,14